Year,Series,Unit,Value
2000,"Material footprint, total",Tons per capita,2.80078
2001,"Material footprint, total",Tons per capita,4.70498
2002,"Material footprint, total",Tons per capita,2.75651
2003,"Material footprint, total",Tons per capita,3.30607
2004,"Material footprint, total",Tons per capita,2.98545
2005,"Material footprint, total",Tons per capita,3.46174
2006,"Material footprint, total",Tons per capita,4.55034
2007,"Material footprint, total",Tons per capita,4.69175
2008,"Material footprint, total",Tons per capita,4.94633
2009,"Material footprint, total",Tons per capita,5.47374
2010,"Material footprint, total",Tons per capita,5.92243
2011,"Material footprint, total",Tons per capita,6.8453
2012,"Material footprint, total",Tons per capita,6.58357
2013,"Material footprint, total",Tons per capita,3.99043
2014,"Material footprint, total",Tons per capita,3.23287
2015,"Material footprint, total",Tons per capita,3.06034
2016,"Material footprint, total",Tons per capita,3.01471
2017,"Material footprint, total",Tons per capita,2.81153
2018,"Material footprint, total",Tons per capita,2.69818
2019,"Material footprint, total",Tons per capita,2.18472
2020,"Material footprint, total",Tons per capita,3.33535
2021,"Material footprint, total",Tons per capita,3.43558
2022,"Material footprint, total",Tons per capita,3.41879
