Year,Series,Unit,Value
2000,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,59
2001,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,55
2002,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,61
2003,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,68
2004,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,62
2005,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,72
2006,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,70
2007,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,66
2008,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,56
2009,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,64
2010,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,55
2011,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,58
2012,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,57
2013,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,60
2014,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,52
2015,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,49
2016,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,46
2017,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,36
2018,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2020,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,40
2021,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,32
2022,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,37
2023,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2015,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,20
2016,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,20
2017,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,36
2018,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,35
2019,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,35
2020,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,41
2021,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,34
2022,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,38
2023,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,29
2019,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,20
2020,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,27
2021,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,20
2022,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,25
2023,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,41
