Year,Series,Unit,Value
2000,Dentistry personel density,"Per 10,000 population",0.163
2009,Dentistry personel density,"Per 10,000 population",0.164
2018,Dentistry personel density,"Per 10,000 population",0.152
2019,Dentistry personel density,"Per 10,000 population",0.065
2021,Dentistry personel density,"Per 10,000 population",0.049
2023,Dentistry personel density,"Per 10,000 population",0.05
2000,Nursing and midwifery personnel density,"Per 10,000 population",5.158
2008,Nursing and midwifery personnel density,"Per 10,000 population",3.984
2010,Nursing and midwifery personnel density,"Per 10,000 population",4.804
2018,Nursing and midwifery personnel density,"Per 10,000 population",5.009
2019,Nursing and midwifery personnel density,"Per 10,000 population",4.166
2021,Nursing and midwifery personnel density,"Per 10,000 population",5.113
2012,Pharmaceutical personnel density,"Per 10,000 population",0.441
2017,Pharmaceutical personnel density,"Per 10,000 population",0.623
2018,Pharmaceutical personnel density,"Per 10,000 population",0.123
2021,Pharmaceutical personnel density,"Per 10,000 population",0.079
2023,Pharmaceutical personnel density,"Per 10,000 population",0.08
2000,Physicians density,"Per 10,000 population",0.499
2008,Physicians density,"Per 10,000 population",0.467
2010,Physicians density,"Per 10,000 population",0.496
2018,Physicians density,"Per 10,000 population",0.645
2019,Physicians density,"Per 10,000 population",0.608
2021,Physicians density,"Per 10,000 population",0.629
2023,Physicians density,"Per 10,000 population",0.61
