Year,Series,Unit,Value
2000,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,134.08653
2001,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,1.0811
2002,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,76.2232
2003,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,58.28934
2004,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,50.17288
2005,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,42.35517
2006,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,28.67878
2007,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,37.82403
2008,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,41.87509
2009,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,59.19708
2010,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,28.33771
2011,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,46.77829
2012,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,42.83765
2013,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,39.07792
2014,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,24.8898
2015,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,72.79442
2016,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,25.98182
2017,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,48.94971
2018,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,56.34903
2019,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,127.46813
2020,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,120.43455
2021,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,156.60814
2022,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient",Million 2022 US dollars,90.84456
