Year,Series,Unit,Value
2000,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",0.98456
2001,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",0.99657
2002,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.00618
2003,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.01629
2004,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.02647
2005,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.03554
2006,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.04411
2007,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.05317
2008,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.06352
2009,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.07398
2010,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.08571
2011,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.09674
2012,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.10811
2013,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.11713
2014,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.12524
2015,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.13345
2016,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.14248
2017,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.15201
2018,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.01553
2019,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.16738
2020,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.17399
2021,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.18106
2022,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.18695
2016,Gender parity index for participation rate in organized learning (one year before the official primary entry age),Female-to-male ratio,1.00351
2018,Gender parity index for participation rate in organized learning (one year before the official primary entry age),Female-to-male ratio,1.00608
