Year,Series,Unit,Value
2010,Fossil-fuel subsidies (consumption and production),% of GDP,0
2011,Fossil-fuel subsidies (consumption and production),% of GDP,0
2012,Fossil-fuel subsidies (consumption and production),% of GDP,0
2013,Fossil-fuel subsidies (consumption and production),% of GDP,0
2014,Fossil-fuel subsidies (consumption and production),% of GDP,0
2015,Fossil-fuel subsidies (consumption and production),% of GDP,0
2016,Fossil-fuel subsidies (consumption and production),% of GDP,0
2017,Fossil-fuel subsidies (consumption and production),% of GDP,0
2018,Fossil-fuel subsidies (consumption and production),% of GDP,0
2019,Fossil-fuel subsidies (consumption and production),% of GDP,0
2020,Fossil-fuel subsidies (consumption and production),% of GDP,0
2021,Fossil-fuel subsidies (consumption and production),% of GDP,0
2022,Fossil-fuel subsidies (consumption and production),% of GDP,0
