Year,Series,Unit,Value
2000,Output per worker growth rate (2015 US Dollar),% change per annum,-6.54
2001,Output per worker growth rate (2015 US Dollar),% change per annum,-1.06
2002,Output per worker growth rate (2015 US Dollar),% change per annum,-0.78
2003,Output per worker growth rate (2015 US Dollar),% change per annum,1.72
2004,Output per worker growth rate (2015 US Dollar),% change per annum,2.59
2005,Output per worker growth rate (2015 US Dollar),% change per annum,6.48
2006,Output per worker growth rate (2015 US Dollar),% change per annum,5.91
2007,Output per worker growth rate (2015 US Dollar),% change per annum,8.65
2008,Output per worker growth rate (2015 US Dollar),% change per annum,0.87
2009,Output per worker growth rate (2015 US Dollar),% change per annum,8.3
2010,Output per worker growth rate (2015 US Dollar),% change per annum,12.03
2011,Output per worker growth rate (2015 US Dollar),% change per annum,-1.64
2012,Output per worker growth rate (2015 US Dollar),% change per annum,1.59
2013,Output per worker growth rate (2015 US Dollar),% change per annum,0.84
2014,Output per worker growth rate (2015 US Dollar),% change per annum,10.9
2015,Output per worker growth rate (2015 US Dollar),% change per annum,2.89
2016,Output per worker growth rate (2015 US Dollar),% change per annum,1.88
2017,Output per worker growth rate (2015 US Dollar),% change per annum,0.11
2018,Output per worker growth rate (2015 US Dollar),% change per annum,-3.69
2019,Output per worker growth rate (2015 US Dollar),% change per annum,1.09
2020,Output per worker growth rate (2015 US Dollar),% change per annum,-5.11
2021,Output per worker growth rate (2015 US Dollar),% change per annum,-4.15
2022,Output per worker growth rate (2015 US Dollar),% change per annum,1.2
2023,Output per worker growth rate (2015 US Dollar),% change per annum,0.53
2024,Output per worker growth rate (2015 US Dollar),% change per annum,2.28
