Year,Series,Unit,Value
2002,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,0.31194
2003,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,0.10413
2004,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,0.39755
2005,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,11.4987
2006,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,36.45018
2007,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,0.66506
2008,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,9.18665
2009,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,13.4433
2010,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,81.45968
2011,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,14.75494
2012,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,23.88402
2013,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,15.87766
2014,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,12.54469
2015,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,24.53235
2016,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,51.05365
2017,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,94.16201
2018,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,198.9611
2019,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,19.99172
2020,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,15.91989
2021,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,22.16074
2022,"Official development assistance for biodiversity, total, by recipient",Million 2022 US dollars,72.5639
