Year,Series,Unit,Value
2000,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2005,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2010,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2015,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2016,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2017,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2018,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2019,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2020,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2021,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2022,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2023,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
2024,Countries with National Human Rights Institutions in compliance with the Paris Principles,"0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
