Year,Series,Unit,Value
2000,Individuals using the Internet,% of population,0.84
2001,Individuals using the Internet,% of population,0.9
2002,Individuals using the Internet,% of population,1.32
2003,Individuals using the Internet,% of population,1.37
2004,Individuals using the Internet,% of population,1.51
2005,Individuals using the Internet,% of population,1.72
2006,Individuals using the Internet,% of population,1.75
2007,Individuals using the Internet,% of population,1.79
2008,Individuals using the Internet,% of population,1.15
2009,Individuals using the Internet,% of population,1.61
2010,Individuals using the Internet,% of population,1.28
2011,Individuals using the Internet,% of population,2.0
2012,Individuals using the Internet,% of population,3.5
2013,Individuals using the Internet,% of population,5.1
2014,Individuals using the Internet,% of population,6.5
2015,Individuals using the Internet,% of population,7.9
2016,Individuals using the Internet,% of population,9.6
2017,Individuals using the Internet,% of population,11.21
2019,Individuals using the Internet,% of population,19.98
2020,Individuals using the Internet,% of population,24.4
2021,Individuals using the Internet,% of population,23.2
2022,Individuals using the Internet,% of population,23.7
2023,Individuals using the Internet,% of population,24.1
