Year,Series,Unit,Value
2000,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2001,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2002,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2003,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2004,International support for clean energy and renewable energy,Million 2021 US dollars,0.01
2005,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2006,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2007,International support for clean energy and renewable energy,Million 2021 US dollars,0.04
2008,International support for clean energy and renewable energy,Million 2021 US dollars,0.03
2009,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2010,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2011,International support for clean energy and renewable energy,Million 2021 US dollars,41.25
2012,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2013,International support for clean energy and renewable energy,Million 2021 US dollars,7.03
2014,International support for clean energy and renewable energy,Million 2021 US dollars,0.0
2015,International support for clean energy and renewable energy,Million 2021 US dollars,8.99
2016,International support for clean energy and renewable energy,Million 2021 US dollars,34.38
2017,International support for clean energy and renewable energy,Million 2021 US dollars,0.88
2018,International support for clean energy and renewable energy,Million 2021 US dollars,0.15
2019,International support for clean energy and renewable energy,Million 2021 US dollars,0.14
2020,International support for clean energy and renewable energy,Million 2021 US dollars,0.1
2021,International support for clean energy and renewable energy,Million 2021 US dollars,0.17
2022,International support for clean energy and renewable energy,Million 2021 US dollars,9.82
2023,International support for clean energy and renewable energy,Million 2021 US dollars,18.44
