Year,Series,Unit,Value
2000,FDI inflows,Million US dollars,98.23303
2001,FDI inflows,Million US dollars,63.77039
2002,FDI inflows,Million US dollars,18.27881
2003,FDI inflows,Million US dollars,101.02569
2004,FDI inflows,Million US dollars,25.75608
2005,FDI inflows,Million US dollars,33.5273
2006,FDI inflows,Million US dollars,-6.87009
2007,FDI inflows,Million US dollars,95.77284
2008,FDI inflows,Million US dollars,-30.36936
2009,FDI inflows,Million US dollars,423.20898
2010,FDI inflows,Million US dollars,28.86783
2011,FDI inflows,Million US dollars,-309.19834
2012,FDI inflows,Million US dollars,25.0042
2013,FDI inflows,Million US dollars,18.22224
2014,FDI inflows,Million US dollars,-30.40111
2015,FDI inflows,Million US dollars,27.97635
2016,FDI inflows,Million US dollars,-39.76492
2017,FDI inflows,Million US dollars,-180.17671
2018,FDI inflows,Million US dollars,305.66346
2019,FDI inflows,Million US dollars,335.17676
2020,FDI inflows,Million US dollars,111.7676
2021,FDI inflows,Million US dollars,-10.71249
2022,FDI inflows,Million US dollars,458.40889
2023,FDI inflows,Million US dollars,-424.80315
2000,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,333.10067
2001,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,238.24067
2002,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,253.68
2003,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,240.1594
2004,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,199.04
2005,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,497.74233
2006,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,417.74733
2007,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,521.41733
2008,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,328.99
2009,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2264.21
2010,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,5366.158
2011,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2043.57914
2012,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,4576.41203
2013,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2561.57
2014,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,-2344.27435
2015,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,-2324.81914
2016,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,421.81049
2017,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,399.56096
2018,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,677.76836
2019,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,528.39137
2020,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,1490.43097
2021,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,424.32833
2022,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,572.4559
