Year,Series,Unit,Value
2000,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2001,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2002,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2003,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2004,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2005,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2006,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2007,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2008,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2009,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2010,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.3
2011,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.32
2012,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.34
2013,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.36
2014,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",1.38
2015,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",0.6
2019,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",0.5
2020,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",0.3
2021,Mortality rate attributed to unintentional poisoning,"Per 100,000 population",0.4
2000,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.1
2001,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.12
2002,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.14
2003,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.16
2004,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.18
2005,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2006,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2007,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2008,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2009,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2010,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.2
2011,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.26
2012,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.32
2013,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.38
2014,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",2.44
2015,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",1.0
2019,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",0.9
2020,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",0.6
2021,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, men",0.8
2000,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.4
2001,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.38
2002,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.36
2003,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.34
2004,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.32
2005,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2006,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2007,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2008,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2009,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2010,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2011,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2012,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2013,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2014,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.3
2015,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.1
2019,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.1
2020,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.1
2021,Mortality rate attributed to unintentional poisoning,"Per 100,000 population, women",0.1
