Year,Series,Unit,Value
2000,Prevalence of current tobacco use,% of female aged 15 and above,36.6
2005,Prevalence of current tobacco use,% of female aged 15 and above,33.4
2010,Prevalence of current tobacco use,% of female aged 15 and above,30.5
2015,Prevalence of current tobacco use,% of female aged 15 and above,28.0
2020,Prevalence of current tobacco use,% of female aged 15 and above,25.9
2022,Prevalence of current tobacco use,% of female aged 15 and above,24.9
2000,Prevalence of current tobacco use,% of male aged 15 and above,71.0
2005,Prevalence of current tobacco use,% of male aged 15 and above,67.0
2010,Prevalence of current tobacco use,% of male aged 15 and above,62.7
2015,Prevalence of current tobacco use,% of male aged 15 and above,58.9
2020,Prevalence of current tobacco use,% of male aged 15 and above,55.4
2022,Prevalence of current tobacco use,% of male aged 15 and above,54.3
2000,Prevalence of current tobacco use,% of population aged 15 and above,53.8
2005,Prevalence of current tobacco use,% of population aged 15 and above,50.2
2010,Prevalence of current tobacco use,% of population aged 15 and above,46.6
2015,Prevalence of current tobacco use,% of population aged 15 and above,43.5
2020,Prevalence of current tobacco use,% of population aged 15 and above,40.7
2022,Prevalence of current tobacco use,% of population aged 15 and above,39.6
