Year,Series,Unit,Value
2014,Population covered by at least a 3G mobile network,% of population,60.0
2015,Population covered by at least a 3G mobile network,% of population,60.0
2016,Population covered by at least a 3G mobile network,% of population,60.9
2017,Population covered by at least a 3G mobile network,% of population,64.35
2019,Population covered by at least a 3G mobile network,% of population,64.35
2020,Population covered by at least a 3G mobile network,% of population,64.35
2021,Population covered by at least a 3G mobile network,% of population,64.35
2022,Population covered by at least a 3G mobile network,% of population,64.97
2023,Population covered by at least a 3G mobile network,% of population,70.0
2014,Population covered by at least a 4G mobile network,% of population,7.0
2015,Population covered by at least a 4G mobile network,% of population,35.0
2016,Population covered by at least a 4G mobile network,% of population,35.0
2017,Population covered by at least a 4G mobile network,% of population,50.0
2019,Population covered by at least a 4G mobile network,% of population,50.0
2020,Population covered by at least a 4G mobile network,% of population,50.0
2021,Population covered by at least a 4G mobile network,% of population,50.0
2022,Population covered by at least a 4G mobile network,% of population,55.91
2023,Population covered by at least a 4G mobile network,% of population,70.0
