Year,Series,Unit,Value
2016,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,15.0
2017,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,15.0
2018,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,20.0
2019,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,20.0
2020,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,25.0
2021,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,30.0
2022,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5),Index,30.0
2016,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,20.3083333333333
2017,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,18.8333333333333
2018,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,18.2833333333333
2019,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,18.2833333333333
2020,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,15.6583333333333
2021,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,10.6583333333333
2022,Data Sources performance index (Statistical Performance Indicators Pillar 4),Index,10.1166666666667
2022,Open Data Inventory (ODIN) Coverage Index,Index,20.8
