Year,Series,Unit,Value
2001,Agriculture orientation index for government expenditures,Index,0.1
2002,Agriculture orientation index for government expenditures,Index,0.07
2003,Agriculture orientation index for government expenditures,Index,0.08
2004,Agriculture orientation index for government expenditures,Index,0.09
2005,Agriculture orientation index for government expenditures,Index,0.04
2006,Agriculture orientation index for government expenditures,Index,0.09
2007,Agriculture orientation index for government expenditures,Index,0.08
2008,Agriculture orientation index for government expenditures,Index,0.07
2009,Agriculture orientation index for government expenditures,Index,0.12
2010,Agriculture orientation index for government expenditures,Index,0.13
2011,Agriculture orientation index for government expenditures,Index,0.14
2012,Agriculture orientation index for government expenditures,Index,0.18
2013,Agriculture orientation index for government expenditures,Index,0.07
2014,Agriculture orientation index for government expenditures,Index,0.1
2015,Agriculture orientation index for government expenditures,Index,0.07
2016,Agriculture orientation index for government expenditures,Index,0.09
2017,Agriculture orientation index for government expenditures,Index,0.07
2018,Agriculture orientation index for government expenditures,Index,0.07
2019,Agriculture orientation index for government expenditures,Index,0.07
2020,Agriculture orientation index for government expenditures,Index,0.17
2021,Agriculture orientation index for government expenditures,Index,0.08
2022,Agriculture orientation index for government expenditures,Index,0.08
2023,Agriculture orientation index for government expenditures,Index,0.09
