Year,Series,Unit,Value
2010,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,1.5
2011,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.76
2012,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-1.2
2013,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.82
2014,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.84
2015,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.64
2016,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.25
2017,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.09
2018,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.33
2019,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.69
2020,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.02
2021,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.8
2022,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,1.63
2023,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,2.23
